frecuencia conceptId term razon_inactivo tipo_reemplazo replace_id replace_term
1 202652006 "espondilopatía inflamatoria asociada con otro trastorno (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 371082009 "artritis de columna vertebral"
1 202652006 "espondilopatía inflamatoria asociada con otro trastorno (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 84172003 espondilitis
1 211282004 "cuerpo extraño en brazo (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 125670008 "cuerpo extraño en estructura corporal"
1 214556005 "accidente de tránsito de vehículo con motor sin colisión, con salto desde vehículo con motor en movimiento, peatón lesionado (evento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 214548007 "accidente por saltar de vehículo con motor en movimiento, sobre el camino"
2 215010002 "accidente no de tránsito con salto desde vehículo motorizado en movimiento, excepto vehículo motorizado de campo traviesa, no en la vía pública, ciclista lesionado (evento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 214640008 "accidente de vehículo con motor fuera de la vía pública"
0 111476001 "trastorno mental que comúnmente se inicia en la lactancia, infancia Y/O adolescencia (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 74732009 "trastorno mental"
1 240725003 "criptococosis diseminada (trastorno)" duplicado "IGUAL QUE" 187091009 "criptococosis sistémica"
1 230244008 "trastorno que afecta principalmente las vía motoras (trastorno)" "no conformidad de componente con la política editorial"   
1 268817004 "muy prematuro - inferior a 1000g o menor de 28 semanas (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 268868001 "recién nacido muy prematuro"
1 268817004 "muy prematuro - inferior a 1000g o menor de 28 semanas (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 276658003 "inmadurez extrema"
6 226378003 "suplemento de producto nutricional (producto)" duplicado "IGUAL QUE" 108961000 "suplemento nutricional"
1 325385009 "hidrocortisona, 100 mg/ml, solución inyectable, ampolla de 1 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781932003 "hidrocortisona (como fosfato sódico de hidrocortisona) 100 mg/ml de solución inyectable"
1 325908002 "somatropina (epr), 10 mg/ml, solución inyectable, cartucho de 1,5 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 782111009 "somatropina(epr) 10 mg/ml de solución inyectable"
1 326217001 "clotrimazol, 200 mg, óvulo vaginal (producto)" obsoleto "REEMPLAZADO POR" 784954002 "clotrimazol 200 mg por cada comprimido vaginal"
1 333854002 "ketamina, 50 mg/ml, solución inyectable, vial de 10 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781954001 "ketamina (como clorhidrato de ketamina) 50 mg/ml de solución inyectable"
1 346521000 "alcohol metilado industrial, 70% (producto)" obsoleto "REEMPLAZADO POR" 776331009 "producto con alcohol metilado industrial como único ingrediente"
1 348234007 "propionato de clobetasol, 0,05%, aplicación para el cuero cabelludo (producto)" "no conformidad de componente con la política editorial"   
